Número,Tema,a0,a1,a2,a3,a4,a5
1,Intensidad del dolor,Puedo tolerar el dolor que tengo sin tener que usar analgésicos,"El dolor es malo, pero me las arreglo sin tomar analgésicos",Los analgésicos dan alivio completo del dolor,Los analgésicos proporcionan un alivio moderado del dolor,Los analgésicos dan muy poco alivio del dolor,Los analgésicos no tienen ningún efecto sobre el dolor y no los uso
2,"Cuidado personal (por ejemplo, lavarse, vestirse)",Puedo cuidarme normalmente sin causar dolor adicional,"Puedo cuidarme normalmente, pero me causa dolor adicional",Es doloroso cuidarme y soy lento y cuidadoso,"Necesito ayuda, pero manejo la mayor parte de mi cuidado personal",Necesito ayuda todos los días en la mayoría de los aspectos del cuidado personal,"No me visto, estaba con dificultad y me quedo en la cama"
3,Levantamiento,Puedo levantar pesas pesadas sin dolor adicional,"Puedo levantar pesas pesadas, pero me da dolor adicional","El dolor me impide levantar pesos pesados del suelo, pero puedo manejarlos si están convenientemente colocados, es decir, sobre una mesa.","El dolor me impide levantar pesas pesadas, pero puedo manejar pesas ligeras a medianas si están convenientemente posicionadas",Puedo levantar pesas muy ligeras,No puedo levantar ni cargar nada en absoluto
4,Andante,El dolor no me impide caminar cualquier distancia,El dolor me impide caminar más de una milla,El dolor me impide caminar más de 1/2 milla,El dolor me impide caminar más de 1/4 de milla,Solo puedo caminar usando un bastón o muletas,Estoy en la cama la mayor parte del tiempo y tengo que arrastrarme al baño
5,Sentada,Puedo sentarme en cualquier silla todo el tiempo que quiera,Solo puedo sentarme en mi silla favorita todo el tiempo que quiera,El dolor me impide sentarme más de una hora,El dolor me impide sentarme más de 1/2 hora,El dolor me impide sentarme más de 10 minutos,El dolor me impide sentarme en absoluto
6,En pie,Puedo estar de pie todo el tiempo que quiera sin dolor adicional,"Puedo estar de pie todo el tiempo que quiera, pero me da más dolor",El dolor me impide estar de pie durante más de una hora,El dolor me impide estar de pie por más de 30 minutos,El dolor me impide estar de pie durante más de 10 minutos,El dolor me impide estar de pie en absoluto
7,Durmiente,El dolor no me impide dormir bien,Puedo dormir bien solo usando medicamentos,"Incluso cuando tomo medicamentos, tengo menos de 6 horas de sueño","Incluso cuando tomo medicamentos, tengo menos de 4 horas de sueño","Incluso cuando tomo medicamentos, tengo menos de 2 horas de sueño",El dolor me impide dormir en absoluto
8,Vida social,Mi vida social es normal y no me da dolor extra,Mi vida social es normal pero aumenta el grado de dolor,"El dolor no tiene un efecto significativo en mi vida social, aparte de limitar mis intereses más enérgicos, es decir, bailar, etc.",El dolor ha restringido mi vida social y no salgo tan a menudo,El dolor ha restringido mi vida social a mi hogar,No tengo vida social debido al dolor
9,De viaje,Puedo viajar a cualquier lugar sin dolor adicional,"Puedo viajar a cualquier lugar, pero me da más dolor","El dolor es malo, pero manejo viajes de más de 2 horas",El dolor me restringe a viajes de menos de 1 hora,El dolor me restringe a viajes cortos necesarios de menos de 30 minutos,"El dolor me impide viajar, excepto al médico o al hospital"
10,Empleo/Tareas domésticas,Mis actividades normales de trabajo / tareas domésticas no causan dolor.,"Mis tareas domésticas / laborales normales aumentan mi dolor, pero aún puedo realizar todo lo que se requiere de mí","Puedo realizar la mayoría de mis tareas domésticas / laborales, pero el dolor me impide realizar actividades más estresantes físicamente (por ejemplo, levantar objetos, pasar la aspiradora)",El dolor me impide hacer cualquier cosa que no sean tareas ligeras.,El dolor me impide hacer incluso tareas ligeras.,El dolor me impide realizar cualquier trabajo o tareas domésticas.
