Nombre,Sujet,A0,A1,A2,A3,A4,A5
1,Intensité de la douleur,Je peux tolérer la douleur que j’ai sans avoir à utiliser d’analgésiques,La douleur est mauvaise mais je me débrouille sans prendre d’analgésiques,Les analgésiques soulagent complètement la douleur,Les analgésiques procurent un soulagement modéré de la douleur,Les analgésiques soulagent très peu la douleur,Les analgésiques n’ont aucun effet sur la douleur et je ne les utilise pas
2,"Soins personnels (p. ex. lavage, habillage)",Je peux prendre soin de moi normalement sans causer de douleur supplémentaire,"Je peux prendre soin de moi normalement, mais cela provoque une douleur supplémentaire",C’est douloureux de prendre soin de moi et je suis lent et prudent,"J’ai besoin d’aide, mais je gère la plupart de mes soins personnels",J’ai besoin d’aide tous les jours dans la plupart des aspects des soins personnels,"Je ne m’habille pas, j’ai eu du mal et je reste au lit"
3,Levage,Je peux soulever des poids lourds sans douleur supplémentaire,"Je peux soulever des poids lourds, mais cela donne une douleur supplémentaire","La douleur m’empêche de soulever des poids lourds du sol, mais je peux me débrouiller s’ils sont bien positionnés, c’est-à-dire sur une table","La douleur m’empêche de soulever des poids lourds, mais je peux gérer des poids légers à moyens s’ils sont bien positionnés.",Je peux soulever des poids très légers,Je ne peux pas soulever ou transporter quoi que ce soit du tout
4,Marche,La douleur ne m’empêche pas de marcher sur n’importe quelle distance,La douleur m’empêche de marcher plus d’un kilomètre,La douleur m’empêche de marcher plus de 1/2 mile,La douleur m’empêche de marcher plus de 1/4 de mile,Je ne peux marcher qu’avec un bâton ou des béquilles,Je suis au lit la plupart du temps et je dois ramper jusqu’aux toilettes
5,Assis,Je peux m’asseoir sur n’importe quelle chaise aussi longtemps que je veux,Je ne peux m’asseoir dans mon fauteuil préféré que tant que je le souhaite,La douleur m’empêche de rester assis plus d’une heure,La douleur m’empêche de rester assis plus d’une demi-heure,La douleur m’empêche de rester assis plus de 10 minutes,La douleur m’empêche de m’asseoir du tout
6,Debout,Je peux rester debout aussi longtemps que je veux sans douleur supplémentaire,"Je peux rester debout aussi longtemps que je veux, mais cela me donne une douleur supplémentaire",La douleur m’empêche de rester debout pendant plus d’une heure,La douleur m’empêche de rester debout plus de 30 minutes,La douleur m’empêche de rester debout plus de 10 minutes,La douleur m’empêche de me tenir debout du tout
7,Sommeil,La douleur ne m’empêche pas de bien dormir,Je ne peux bien dormir qu’en utilisant des médicaments,"Même lorsque je prends des médicaments, je dors moins de 6 heures","Même lorsque je prends des médicaments, j’ai moins de 4 heures de sommeil","Même lorsque je prends des médicaments, j’ai moins de 2 heures de sommeil",La douleur m’empêche de dormir du tout
8,Vie sociale,Ma vie sociale est normale et ne me donne aucune douleur supplémentaire,Ma vie sociale est normale mais augmente le degré de douleur,"La douleur n’a pas d’effet significatif sur ma vie sociale en dehors de limiter mes intérêts plus énergiques, c’est-à-dire la danse, etc.",La douleur a restreint ma vie sociale et je ne sors pas aussi souvent,La douleur a restreint ma vie sociale à mon domicile,Je n’ai pas de vie sociale à cause de la douleur
9,Voyager,Je peux voyager n’importe où sans douleur supplémentaire,"Je peux voyager n’importe où, mais cela me donne une douleur supplémentaire","La douleur est mauvaise, mais je gère les trajets de plus de 2 heures",La douleur me limite à des trajets de moins de 1 heure,La douleur me limite à de courts trajets nécessaires de moins de 30 minutes,"La douleur m’empêche de voyager, sauf chez le médecin ou à l’hôpital"
10,Emploi/Tâches ménagères,Mes tâches ménagères / professionnelles normales ne causent pas de douleur.,"Mes tâches ménagères et professionnelles normales augmentent ma douleur, mais je peux toujours effectuer tout ce qui est exigé de moi","Je peux effectuer la plupart de mes tâches ménagères ou professionnelles, mais la douleur m’empêche d’effectuer des activités plus stressantes physiquement (p. ex., soulever, passer l’aspirateur).",La douleur m’empêche de faire autre chose que des tâches légères.,La douleur m’empêche de faire même des tâches légères.,La douleur m’empêche d’effectuer un travail ou des tâches ménagères.
