संख्या,विषय,a0,a1,a2,a3,a4,a5
1,दर्द की तीव्रता,मैं इसका उपयोग किए बिना दर्द को सहन कर सकता दर्दनाशक,दर्द बुरा है लेकिन मैं इसे लेने के बिना प्रबंधन करता दर्दनाशक,दर्दनाशक दर्द से पूरी तरह से राहत देते हैं,दर्दनाशक दर्द से मध्यम राहत देते हैं,दर्दनाशक दर्द से बहुत कम राहत देते हैं।,दर्दनाशक दर्द पर कोई प्रभाव नहीं पड़ता है और मैं उनका उपयोग नहीं करता हूं।
2,"व्यक्तिगत देखभाल (जैसे धोना, ड्रेसिंग)",मैं अतिरिक्त दर्द के बिना सामान्य रूप से खुद की देखभाल कर सकता हूं।,मैं सामान्य रूप से खुद की देखभाल कर सकता हूं लेकिन इससे अतिरिक्त दर्द होता है।,खुद की देखभाल करना दर्दनाक है और मैं धीमा और सावधान हूं।,मुझे कुछ मदद की ज़रूरत है लेकिन मेरी अधिकांश व्यक्तिगत देखभाल का प्रबंधन करें।,मुझे आत्म देखभाल के अधिकांश पहलुओं में हर दिन मदद की ज़रूरत है।,"मैं कपड़े नहीं पहनता, मैं कठिनाई से था और बिस्तर पर रहता था।"
3,उठाने,मैं अतिरिक्त दर्द के बिना भारी वजन उठा सकता हूं।,मैं भारी वजन उठा सकता हूं लेकिन यह अतिरिक्त दर्द देता है।,"दर्द मुझे फर्श से भारी वजन उठाने से रोकता है, लेकिन मैं प्रबंधन कर सकता हूं अगर वे आसानी से तैनात हैं, यानी एक मेज पर।","दर्द मुझे भारी वजन उठाने से रोकता है, लेकिन अगर वे आसानी से तैनात हैं तो मैं हल्के से मध्यम वजन का प्रबंधन कर सकता हूं।",मैं बहुत हल्के वजन उठा सकता हूं।,मैं कुछ भी उठा या ले नहीं जा सकता।
4,चलना,दर्द मुझे किसी भी दूरी तक चलने से नहीं रोकता है।,दर्द मुझे एक मील से अधिक चलने से रोकता है,दर्द मुझे 1/2 मील से अधिक चलने से रोकता है,दर्द मुझे 1/4 मील से अधिक चलने से रोकता है,मैं केवल एक छड़ी या बैसाखी का उपयोग करके चल सकता हूं।,मैं ज्यादातर समय बिस्तर पर रहता हूं और मुझे शौचालय तक रेंगना पड़ता है।
5,बैठे हुए,मैं जब तक चाहूं किसी भी कुर्सी पर बैठ सकता हूं।,मैं केवल अपनी पसंदीदा कुर्सी पर बैठ सकता हूं जब तक मैं चाहूं।,दर्द मुझे एक घंटे से अधिक बैठने से रोकता है,दर्द मुझे 1/2 घंटे से अधिक बैठने से रोकता है,दर्द मुझे 10 मिनट से अधिक बैठने से रोकता है,दर्द मुझे बैठने से रोकता है।
6,खड़ा,मैं अतिरिक्त दर्द के बिना जब तक चाहूं तब तक खड़ा रह सकता हूं।,मैं जब तक चाहूं खड़ी रह सकती हूं लेकिन इससे मुझे अतिरिक्त दर्द होता है।,दर्द मुझे एक घंटे से अधिक समय तक खड़े रहने से रोकता है,दर्द मुझे 30 मिनट से अधिक समय तक खड़े रहने से रोकता है,दर्द मुझे 10 मिनट से अधिक समय तक खड़े रहने से रोकता है,दर्द मुझे बिल्कुल खड़े होने से रोकता है।
7,सोना,दर्द मुझे अच्छी तरह से सोने से नहीं रोकता है।,मैं केवल दवा का उपयोग करके अच्छी नींद ले सकता हूं।,"यहां तक कि जब मैं दवा लेता हूं, तो मुझे 6 घंटे से कम नींद आती है।","यहां तक कि जब मैं दवा लेता हूं, तो मुझे 4 घंटे से कम नींद आती है।","यहां तक कि जब मैं दवा लेता हूं, तो मुझे 2 घंटे से कम नींद आती है।",दर्द मुझे सोने से रोकता है
8,सामाजिक जीवन,मेरा सामाजिक जीवन सामान्य है और मुझे कोई अतिरिक्त दर्द नहीं देता है।,मेरा सामाजिक जीवन सामान्य है लेकिन दर्द की डिग्री बढ़ जाती है।,"दर्द का मेरे सामाजिक जीवन पर कोई महत्वपूर्ण प्रभाव नहीं पड़ता है, इसके अलावा मेरे अधिक ऊर्जावान हितों, यानी नृत्य, आदि को सीमित करने के अलावा।",दर्द ने मेरे सामाजिक जीवन को प्रतिबंधित कर दिया है और मैं अक्सर बाहर नहीं जाता हूं।,दर्द ने मेरे सामाजिक जीवन को मेरे घर तक सीमित कर दिया है।,दर्द के कारण मेरा कोई सामाजिक जीवन नहीं है।
9,सफ़र,मैं अतिरिक्त दर्द के बिना कहीं भी यात्रा कर सकता हूं।,मैं कहीं भी यात्रा कर सकता हूं लेकिन यह मुझे अतिरिक्त दर्द देता है।,"दर्द बुरा है, लेकिन मैं 2 घंटे से अधिक यात्रा का प्रबंधन करता हूं।",दर्द मुझे 1 घंटे से कम की यात्रा तक सीमित करता है,दर्द मुझे 30 मिनट से कम समय की छोटी आवश्यक यात्राओं तक सीमित करता है।,दर्द मुझे डॉक्टर या अस्पताल को छोड़कर यात्रा करने से रोकता है।
10,रोजगार/घर निर्माण,मेरी सामान्य घर बनाने / नौकरी की गतिविधियों से दर्द नहीं होता है।,"मेरी सामान्य होममेकिंग / नौकरी की गतिविधियां मेरे दर्द को बढ़ाती हैं, लेकिन मैं अभी भी वह सब कर सकता हूं जो मेरे लिए आवश्यक है।","मैं अपने अधिकांश होममेकिंग / नौकरी कर्तव्यों का पालन कर सकता हूं, लेकिन दर्द मुझे अधिक शारीरिक रूप से तनावपूर्ण गतिविधियों (जैसे उठाने, वैक्यूमिंग) करने से रोकता है।",दर्द मुझे हल्के कर्तव्यों के अलावा कुछ भी करने से रोकता है।,दर्द मुझे हल्के कर्तव्यों को करने से भी रोकता है।,दर्द मुझे किसी भी काम या घर बनाने के काम करने से रोकता है।
