数,主题,答0,答1,答2,答3,答4,答5
1,疼痛强度,我可以忍受我的疼痛，而不必使用止痛药,疼痛很严重，但我不服用止痛药就成功了,止痛药可完全缓解疼痛,止痛药可适度缓解疼痛,止痛药对疼痛的缓解作用很小,止痛药对疼痛没有影响，我不使用它们
2,个人护理（如洗涤、穿衣）,我可以正常照顾自己而不会造成额外的痛苦,我可以正常照顾自己，但这会导致额外的痛苦,照顾自己很痛苦，我很慢，很小心,我需要一些帮助，但要管理我的大部分个人护理,我每天都在自我护理的大多数方面需要帮助,我不穿衣服，我很难躺在床上
3,提升,我可以举起重物而不会感到额外的疼痛,我可以举起重物，但它会带来额外的疼痛,疼痛使我无法将重物从地板上抬起，但如果它们的位置方便，即放在桌子上，我可以管理。,疼痛使我无法举起重物，但如果它们的位置方便，我可以处理轻到中等重量,我可以举起很轻的重量,我根本无法举起或携带任何东西
4,走,疼痛不会阻止我走任何距离,疼痛使我无法行走超过一英里,疼痛使我无法行走超过1/2英里,疼痛使我无法行走超过 1/4 英里,我只能用拐杖或拐杖走路,我大部分时间都在床上，不得不爬到厕所
5,坐,只要我喜欢，我可以坐在任何椅子上,只要我喜欢，我只能坐在我最喜欢的椅子上,疼痛使我无法坐超过一个小时,疼痛使我无法坐超过 1/2 小时,疼痛使我无法坐超过 10 分钟,疼痛使我根本无法坐下
6,站,我可以站多久就站多久，没有额外的痛苦,我可以站多久就站多久，但这给了我额外的痛苦,疼痛使我无法站立超过一个小时,疼痛使我无法站立超过 30 分钟,疼痛使我无法站立超过 10 分钟,疼痛使我根本无法站立
7,睡眠,疼痛并不妨碍我睡个好觉,我只能通过药物睡个好觉,即使我服用药物，我的睡眠时间也不到 6 小时,即使我服用药物，我的睡眠时间也不到 4 小时,即使我服用药物，我的睡眠时间也不到 2 小时,疼痛使我根本无法入睡
8,社交生活,我的社交生活很正常，不会给我带来额外的痛苦,我的社交生活是正常的，但增加了疼痛程度,疼痛对我的社交生活没有显着影响，除了限制我更有活力的兴趣，即跳舞等。,疼痛限制了我的社交生活，我不经常外出,疼痛限制了我在家里的社交生活,由于疼痛，我没有社交生活
9,旅行,我可以去任何地方旅行而不会有额外的痛苦,我可以去任何地方旅行，但这给我带来了额外的痛苦,疼痛很糟糕，但我管理超过 2 小时的旅程,疼痛限制了我不到 1 小时的旅程,疼痛限制了我在 30 分钟内进行必要的短途旅行,疼痛使我无法旅行，除非去看医生或医院
10,就业/家务,我正常的家务/工作活动不会引起疼痛。,我正常的家务/工作活动增加了我的痛苦，但我仍然可以完成我所需要的一切,我可以执行大部分家务/工作职责，但疼痛使我无法进行更紧张的体力活动（例如举重，吸尘）,疼痛使我除了轻松的工作之外什么都做不了。,疼痛使我无法完成甚至轻松的工作。,疼痛使我无法从事任何工作或家务。
